"pid","study_longname"
"AAVP01","AFRICAN AIDS VACCINE PROGRAMME "
"ARV","Botswana National Programme"
"ARVIPMS","Botswana National Programme IPMS"
"BANA01","Bana Study (non-BHP)"
"BHP","System Admin"
"BHP004","Prevention of Milk-Borne Mother-to-Child Transmission of HIV-1C in Botswana"
"BHP005","Mashi Plus (view only)"
"BHP006","Prevention of Milk-Borne Mother-to-Child Transmission of HIV-1C in Botswana [HIV neg control]"
"BHP007","ADULT ANTI-RETROVIRAL TREATMENT AND RESISTANCE STUDY (The TSHEPO Study)"
"BHP009","Tshedimoso (R21): Early and Acute HIV-1C Infection in Botswana"
"BHP010","Cost Effectiveness Study"
"BHP011","Micronutrient Therapy Study"
"BHP012","Tshedimoso (R01): Early and Acute HIV-1C Infection in Botswana"
"BHP015","HSV"
"BHP016","MmaBana: A Randomized Trial of Lopinavir/Ritonavir/Combivir vs. Abacavir/Zidovudine/Lamivudine for Virologic Efficacy and the Prevention of Mother-to-Child HIV Transmission among Breastfeeding Women with CD4 Counts > 200 cells/mm3 in Botswana"
"BHP017","ACTG Protocol 5208 (OCTANE)"
"BHP018","HIV/HSV/HAART"
"BHP019","Mashi Plus v4 (05/03/2007-)"
"BHP020","Wester - Portable Lactate"
"BHP021","Risk Factors
for the Development of Lactic Acidosis and Pancreatitis Among HAART
-Treated Adults in Botswana (Wester - K23)"
"BHP022","Host genetics (Essex/O'Brien)"
"BHP023","IMPAACT P1041"
"BHP024","Infant Male Circumcision in Gaborone, Botswana, and Surrounding Areas: Feasibility, Safety and Acceptability
<A href=""http://dmc2.bhp.org.bw/bhpwiki/index.php/MOP:BHP024#BIOHAZARD_CONTAINMENT_.2F_INFECTION_CONTROL"">MOP</A>"
"BHP026","Bomolemo"
"BHP027","Adeno Study"
"BHP029","Kgatelopele"
"BHP030","reference ranges"
"BHP031","CTX"
"BHP032","HPTN052 Tibelo"
"BHP033","A5221 - A Strategy Study of Immediate Versus Deferred Initiation of Antiretroviral Therapy for HIV-Infected Persons Treated for Tuberculosis with CD4 <200cells/mm3 "
"BHP034","Acceptability of infant male circumcision"
